Waiting for connections...
Server Port:4090
Connection accepted
Image Size:1440000
Connection accepted
Image Size:1440000
Connection accepted
Image Size:1440000
Connection accepted
Image Size:1440000
4, 0.03063
4, 0.040157
4, 0.037675
Connection accepted
Image Size:1440000
5, 0.113847
5, 0.040033
5, 0.039352
Connection accepted
Image Size:1440000
6, 0.090242
6, 0.036907
6, 0.164767
6, 0.107333
6, 0.069348
6, 0.030447
6, 0.034854
6, 0.029487
6, 0.228283
6, 0.080216
6, 0.032094
6, 0.03862
Connection accepted
Image Size:1440000
7, 0.113328
7, 0.333311
7, 0.133493
7, 0.091676
7, 0.095833
Connection accepted
Image Size:1440000
8, 0.158289
8, 0.153333
8, 0.127313
8, 0.417242
8, 0.10796
8, 0.250941
8, 0.170904
8, 0.127352
8, 0.191626
Connection accepted
Image Size:1440000
9, 0.206162
9, 0.263097
9, 0.447766
9, 0.276093
9, 0.150736
9, 0.167708
9, 0.213991
9, 0.2192
9, 0.213004
9, 0.20237
9, 0.207619
9, 0.208442
9, 0.190488
9, 0.197544
9, 0.154731
9, 0.178633
9, 0.152931
9, 0.206508
9, 0.215583
Connection accepted
Image Size:1440000
10, 0.29724
10, 0.247994
10, 0.24402
10, 0.325205
Connection accepted
Image Size:1440000
11, 0.298775
11, 0.324171
11, 0.285338
11, 0.310025
11, 0.21514
11, 0.63154
11, 0.226593
11, 0.204312
11, 0.2749
Connection accepted
Image Size:1440000
12, 0.243281
12, 0.335249
12, 0.221197
12, 0.288015
12, 0.170594
12, 0.206413
12, 0.191558
12, 0.267548
12, 0.729298
12, 0.228449
12, 0.316346
12, 0.219042
12, 0.302093
12, 0.182878
12, 0.257445
12, 0.196661
12, 0.226549
12, 0.216328
12, 0.211352
12, 0.225908
12, 0.22895
12, 0.751517
12, 0.228826
12, 0.183001
12, 0.289255
12, 0.209423
12, 0.105567
12, 0.130496
12, 0.194692
12, 0.321909
12, 0.172373
12, 0.190085
12, 0.255699
12, 0.252292
12, 0.252092
12, 0.158462
12, 0.337395
12, 0.25218
12, 0.334623
12, 0.197619
12, 0.30803
12, 0.225822
12, 0.224923
12, 0.275172
12, 0.19193
12, 0.218624
12, 0.222853
12, 0.241477
12, 0.262382
12, 0.249816
12, 0.216811
12, 0.336651
12, 0.273387
12, 0.246918
12, 0.340526
12, 0.240795
12, 0.309847
12, 0.144423
12, 0.2868
12, 0.239011
12, 0.256909
12, 0.239214
12, 0.291685
12, 0.256457
12, 0.20633
12, 0.280916
12, 0.19893
12, 0.243394
12, 0.27778
12, 0.276317
