ProccessID, countOfDetection, Time(microsec)
1,1,71830
1,1,14470
1,1,14103
1,1,14254
1,1,14224
1,1,14065
1,1,14090
1,1,14795
1,1,14306
1,1,14011
1,1,14351
1,1,14171
1,1,14435
1,1,14040
1,1,14215
1,1,14052
1,1,14306
1,1,13526
1,1,13246
1,1,14690
1,1,17005
1,1,13183
1,1,13197
1,1,13195
1,1,8735
1,1,8643
1,1,8694
1,1,8756
1,1,8771
1,1,8671
1,1,8670
1,1,8752
1,1,8788
1,1,8644
1,1,8669
1,1,8735
1,1,8623
1,1,8683
1,1,8703
1,1,8641
1,1,8778
1,1,8659
1,1,8949
1,1,8599
1,1,8718
1,1,8701
1,1,8614
1,1,8688
1,1,8784
1,1,8848
1,1,8729
1,1,8697
1,1,8667
1,1,8643
1,1,8621
1,1,8729
1,1,8694
1,1,8624
1,1,8747
1,1,13156
1,1,13207
1,1,13084
1,1,8678
1,1,8663
1,1,8703
1,1,8710
1,1,8686
1,1,8671
1,1,8633
1,1,16221
1,1,8716
1,1,8619
1,1,8790
1,1,8677
1,1,8826
1,1,13185
1,1,8644
1,1,13147
1,1,13153
1,1,13207
1,1,13186
1,1,13479
1,1,13123
1,1,13181
1,1,13294
1,1,13235
1,1,13333
1,1,13144
1,1,13186
1,1,13188
1,1,13180
1,1,13175
1,1,13117
1,1,13125
1,1,13134
1,1,13171
1,1,13127
1,1,13272
1,1,13197
1,1,13259
1,1,13212
1,1,13239
1,1,13150
1,1,13176
1,1,13224
1,1,13219
1,1,13202
1,1,13250
1,1,13308
1,1,13123
1,1,13207
1,1,13368
1,1,13220
1,1,15615
1,1,18654
1,1,13280
1,1,13220
1,1,13289
1,1,13187
1,1,13269
1,1,13182
1,1,13199
1,1,13120
1,1,13268
1,1,13163
1,1,13166
1,1,13241
1,1,13188
1,1,13427
1,1,13500
1,1,13186
1,1,13186
1,1,13413
1,1,13214
1,1,13179
1,1,13185
1,1,13348
1,1,13192
1,1,13158
1,1,13147
1,1,13233
1,1,13178
1,1,16627
1,1,24594
1,1,18665
1,1,13147
1,1,13130
1,1,13265
1,1,13255
1,1,13192
1,1,13218
1,1,13132
1,1,13327
1,1,13226
1,1,13346
1,1,13158
1,1,13193
1,1,13307
1,1,13131
1,1,13261
1,1,13251
1,1,13182
1,1,13234
1,1,13230
1,1,13206
1,1,13198
1,1,13273
1,1,13231
1,1,13172
1,1,13158
1,1,13199
1,1,13226
1,1,13151
1,1,18811
1,1,13208
1,1,13255
1,1,13252
1,1,13148
1,1,13245
1,1,13217
1,1,13200
1,1,13253
1,1,13249
1,1,13236
1,1,13210
1,1,13164
1,1,13229
1,1,13152
1,1,13354
1,1,13233
1,1,13236
1,1,13141
1,1,13166
1,1,13200
1,1,13279
1,1,13227
1,1,13188
1,1,13184
1,1,13168
1,1,13201
1,1,13253
1,1,13418
1,1,15519
1,1,17180
1,1,13208
1,1,13191
1,1,13085
1,1,13157
1,1,13129
1,1,13134
1,1,13166
1,1,13114
1,1,13087
1,1,13102
1,1,13109
1,1,13077
1,1,13130
1,1,13135
1,1,13168
1,1,13080
1,1,13156
1,1,13170
1,1,13140
1,1,13066
1,1,13152
1,1,13112
1,1,13193
1,1,13163
1,1,13195
1,1,13253
1,1,13137
1,1,13129
1,1,13179
1,1,20916
1,1,13141
1,1,13140
1,1,13217
1,1,13065
1,1,13212
1,1,13227
1,1,13209
1,1,13230
1,1,13397
1,1,13552
1,1,13206
1,1,13327
1,1,13237
1,1,13159
1,1,13247
1,1,13318
1,1,13169
1,1,13213
1,1,13232
1,1,13201
1,1,13395
1,1,13185
1,1,13130
1,1,13068
1,1,13260
1,1,13097
1,1,13132
1,1,8675
1,1,8880
1,1,8674
1,1,14521
1,1,14225
1,1,14850
1,1,13190
1,1,13224
1,1,13246
1,1,13193
1,1,13181
1,1,13203
1,1,13109
1,1,13186
1,1,13096
1,1,13120
1,1,13115
1,1,13074
1,1,13141
1,1,13080
1,1,13134
1,1,13110
1,1,13170
1,1,13174
1,1,13159
