ProccessID, countOfDetection, Time(ms), countOfDetection2, Time(ms2)
1,1,136463,1,137288
1,1,34321,1,37755
1,1,43394,1,36325
1,1,22129,1,26407
1,1,30027,1,27799
1,1,45329,1,28215
1,1,39685,1,26688
1,1,42254,1,26666
1,1,32890,1,20502
1,1,38681,1,36247
1,1,33193,1,38378
1,1,33232,1,38933
1,1,36191,1,25160
1,1,35188,1,45328
1,1,40239,1,42795
1,1,29475,1,35367
1,1,28343,1,39966
1,1,33275,1,43352
1,1,30725,1,29475
1,1,40707,1,33449
1,1,40926,1,39338
1,1,44138,1,33269
1,1,29876,1,39162
1,1,35230,1,30954
1,1,28654,1,26899
1,1,27664,1,32083
1,1,27518,1,28902
1,1,28477,1,35526
1,1,24260,1,25933
1,1,32388,1,37762
1,1,35382,1,41835
1,1,32797,1,28873
1,1,27181,1,31939
1,1,28105,1,29095
1,1,27622,1,27556
1,1,25289,1,27501
1,1,29697,1,31604
1,1,28031,1,21756
1,1,32332,1,28679
1,1,25863,1,35197
1,1,28491,1,29854
1,1,32775,1,27170
1,1,31209,1,28134
1,1,31156,1,27600
1,1,30100,1,22798
1,1,33508,1,29616
1,1,32165,1,28830
1,1,24916,1,31109
1,1,28176,1,26802
1,1,28585,1,27858
1,1,29337,1,33057
1,1,23466,1,32734
1,1,33618,1,30383
1,1,28562,1,30246
1,1,17101,1,33625
1,1,26168,1,32975
1,1,27321,1,25031
1,1,30886,1,28672
1,1,29519,1,29172
1,1,37193,1,41338
1,1,42831,1,34287
1,1,39532,1,27200
1,1,26376,1,22464
1,1,26301,1,31648
1,1,28092,1,29351
1,1,27693,1,30763
1,1,34028,1,30464
1,1,32748,1,35159
1,1,32913,1,30024
1,1,22564,1,16521
1,1,30643,1,30520
1,1,28868,1,26661
1,1,30566,1,24487
1,1,17597,1,26191
1,1,23871,1,27616
1,1,39997,1,35507
1,1,17603,1,32447
1,1,41336,1,40300
1,1,44277,1,33018
1,1,44985,1,38922
1,1,41468,1,44214
1,1,44120,1,25323
1,1,43330,1,34740
1,1,41833,1,24182
1,1,44400,1,45000
1,1,45698,1,44565
1,1,44370,1,41421
1,1,44277,1,42494
1,1,45625,1,44741
1,1,45194,1,44989
1,1,43842,1,39709
