ProccessID, countOfDetection2, Time(ms2)
1,1,137288
1,1,37755
1,1,36325
1,1,26407
1,1,27799
1,1,28215
1,1,26688
1,1,26666
1,1,20502
1,1,36247
1,1,38378
1,1,38933
1,1,25160
1,1,45328
1,1,42795
1,1,35367
1,1,39966
1,1,43352
1,1,29475
1,1,33449
1,1,39338
1,1,33269
1,1,39162
1,1,30954
1,1,26899
1,1,32083
1,1,28902
1,1,35526
1,1,25933
1,1,37762
1,1,41835
1,1,28873
1,1,31939
1,1,29095
1,1,27556
1,1,27501
1,1,31604
1,1,21756
1,1,28679
1,1,35197
1,1,29854
1,1,27170
1,1,28134
1,1,27600
1,1,22798
1,1,29616
1,1,28830
1,1,31109
1,1,26802
1,1,27858
1,1,33057
1,1,32734
1,1,30383
1,1,30246
1,1,33625
1,1,32975
1,1,25031
1,1,28672
1,1,29172
1,1,41338
1,1,34287
1,1,27200
1,1,22464
1,1,31648
1,1,29351
1,1,30763
1,1,30464
1,1,35159
1,1,30024
1,1,16521
1,1,30520
1,1,26661
1,1,24487
1,1,26191
1,1,27616
1,1,35507
1,1,32447
1,1,40300
1,1,33018
1,1,38922
1,1,44214
1,1,25323
1,1,34740
1,1,24182
1,1,45000
1,1,44565
1,1,41421
1,1,42494
1,1,44741
1,1,44989
1,1,39709
1,1,44320
1,1,45603
1,1,44930
1,1,42209
1,1,45294
1,1,45496
1,1,44667
1,1,41232
1,1,43916
1,1,38463
1,1,44711
1,1,42761
1,1,45280
1,1,41908
1,1,48531
1,1,42503
1,1,41739
1,1,39368
1,1,45814
1,1,43985
1,1,44394
1,1,43999
1,1,45579
1,1,42500
1,1,45855
1,1,38496
1,1,48938
1,1,49029
1,1,56718
1,1,49192
1,1,51250
1,1,38906
1,1,44778
1,1,38187
1,1,42113
1,1,36200
1,1,32474
1,1,39747
1,1,42282
1,1,35693
1,1,38956
1,1,29835
1,1,33430
1,1,39152
1,1,34299
1,1,39065
1,1,37925
1,1,43848
1,1,44219
1,1,43862
1,1,38412
1,1,28514
1,1,31276
1,1,34398
1,1,37766
1,1,42787
1,1,26854
1,1,64763
1,1,50348
1,1,72422
1,1,39732
1,1,38243
1,1,29495
1,1,31852
1,1,44850
1,1,43623
1,1,38642
1,1,34675
1,1,38552
1,1,43321
1,1,28658
1,1,32542
1,1,30682
1,1,43340
1,1,29814
1,1,40403
1,1,33638
1,1,39336
1,1,45457
1,1,34337
1,1,39128
1,1,27835
1,1,28882
1,1,37633
1,1,36732
1,1,29445
1,1,30093
1,1,37533
1,1,35953
1,1,34063
1,1,39804
1,1,43817
1,1,38873
1,1,33241
1,1,32926
1,1,29301
1,1,38524
1,1,35757
1,1,37948
1,1,37942
1,1,35373
1,1,43825
1,1,35652
1,1,38000
1,1,33519
1,1,39434
1,1,36065
1,1,39342
1,1,28453
1,1,34082
1,1,40548
1,1,33602
1,1,28292
1,1,31979
1,1,52267
1,1,42311
1,1,42475
1,1,38453
1,1,41011
1,1,41634
1,1,41164
1,1,43443
1,1,43276
1,1,42341
1,1,42308
1,1,41929
1,1,33490
1,1,38753
1,1,43785
1,1,31342
1,1,29003
1,1,30908
1,1,28481
1,1,30478
1,1,30660
1,1,31547
1,1,30027
1,1,37543
1,1,30424
1,1,31742
1,1,30490
1,1,29796
1,1,30582
1,1,32054
1,1,35301
1,1,28367
1,1,30681
1,1,32062
1,1,29289
1,1,30369
1,1,29789
1,1,32418
1,1,28326
1,1,30279
1,1,30361
1,1,32098
1,1,29491
1,1,31912
1,1,30034
1,1,32044
1,1,29277
1,1,36703
1,1,31597
1,1,29049
1,1,28622
1,1,31643
1,1,30526
1,1,30156
1,1,23641
1,1,25073
1,1,17266
1,1,21242
1,1,15421
1,1,27997
1,1,23871
1,1,27167
1,1,23371
1,1,24747
1,1,26597
1,1,30462
1,1,31760
1,1,33683
1,1,30490
1,1,29556
1,1,30435
1,1,30737
1,1,31388
1,1,30383
1,1,30546
1,1,30714
1,1,30714
1,1,29297
1,1,28599
1,1,30676
1,1,30544
1,1,28904
1,1,31637
1,1,32488
1,1,36930
1,1,23398
1,1,23793
1,1,24002
1,1,26545
1,1,20592
1,1,23070
1,1,23854
1,1,26948
1,1,22743
1,1,26001
1,1,23366
1,1,26200
1,1,23297
1,1,26354
1,1,23172
1,1,26958
1,1,23028
1,1,28009
1,1,26568
1,1,25475
1,1,29227
1,1,23455
1,1,27411
1,1,23122
1,1,24387
1,1,24356
1,1,26623
1,1,23047
1,0,23871
1,0,23905
1,0,25610
1,0,26393
1,0,23060
1,0,22352
1,0,23541
1,0,26146
1,0,23857
1,0,22353
1,0,23675
1,0,27344
1,0,34841
1,0,25277
1,0,30558
1,0,27309
1,0,22733
1,0,22827
1,0,23645
1,0,23521
1,0,23486
1,0,23920
1,0,23667
1,0,23728
1,0,23646
1,0,23084
1,1,24123
1,1,23810
1,1,23881
1,1,23996
1,1,23747
1,1,24055
1,1,23469
1,1,23829
1,1,24004
1,1,29047
1,1,24353
1,1,23903
1,0,23931
1,0,23621
1,0,24009
1,0,23916
1,0,23939
1,0,24355
1,0,23679
1,0,23625
1,0,24103
1,0,22826
1,0,23415
1,0,23438
1,0,23876
1,0,24019
1,0,23303
1,0,23660
1,0,23485
1,0,23882
1,0,23706
1,0,28729
1,0,23794
1,0,23884
1,0,23594
1,1,17831
1,1,19720
1,1,16768
1,1,20436
1,0,28504
1,0,30339
1,0,28006
1,0,18422
1,1,18930
1,1,19737
1,1,24400
1,1,23254
1,1,24310
1,1,23937
1,1,24593
1,1,24122
1,1,24389
1,1,24989
1,1,25295
1,1,29330
1,1,24953
1,1,24232
1,1,23687
1,1,24448
1,1,24041
1,1,24799
1,1,24171
1,1,24526
1,1,23932
1,1,23988
1,1,23769
1,1,24015
1,1,24308
1,1,23839
1,1,23927
1,1,23979
1,1,24395
1,1,23931
1,1,24277
1,1,23784
1,1,33149
1,1,22793
1,1,23919
1,1,23989
1,1,24260
1,1,24217
1,1,23986
1,1,23890
1,1,24182
1,1,23935
1,1,24183
1,1,23908
1,1,24277
1,1,24134
1,1,23904
1,1,23828
1,1,24251
1,1,24034
1,1,23511
1,1,24220
1,1,23383
1,1,24188
1,1,28222
1,1,23959
1,1,23762
1,1,24557
1,1,23881
1,1,23869
1,1,23428
1,1,23942
1,1,23973
1,1,24020
1,1,23567
1,1,24220
1,1,23874
1,1,23908
1,1,23565
1,1,24326
1,1,24000
1,1,24236
1,1,24505
1,1,23985
1,1,23849
1,1,24339
1,1,29890
1,1,24831
1,1,23497
1,1,23856
1,1,23915
1,1,24134
1,1,24196
1,1,24017
1,1,23947
1,1,24111
1,1,29534
1,1,31173
1,1,31079
1,1,39304
1,1,28169
1,1,28888
1,1,33125
1,1,33520
1,1,36527
1,1,32828
1,1,39643
1,1,37217
1,1,34416
1,1,34964
1,1,32077
1,1,41811
1,1,39630
1,1,33968
1,1,39975
1,1,35761
1,1,36895
1,1,37325
1,1,33019
1,1,32819
1,1,28207
1,1,33477
1,1,32184
1,1,38088
1,1,33620
1,1,39221
1,1,33755
1,1,39904
1,1,33333
1,1,36341
1,1,30088
1,1,30415
1,1,27889
1,1,29215
1,1,33428
1,1,39666
1,1,34034
1,1,40677
1,1,34349
1,1,38343
1,1,34436
1,1,28672
1,1,27747
1,1,39615
1,1,28314
1,1,33170
1,1,39949
1,1,34626
1,1,39270
1,1,35480
1,1,41403
1,1,43716
1,1,32603
1,1,29647
1,1,36566
1,1,29339
1,1,29212
1,1,28366
1,1,29552
1,1,33967
1,1,39516
1,1,34771
1,1,38639
1,1,29396
1,1,30094
1,1,33525
1,1,36957
1,1,28913
1,1,27739
1,1,33718
1,1,39556
1,1,29749
1,1,28552
1,1,29347
1,1,34964
1,1,39075
1,1,29581
1,1,28785
1,1,27210
1,1,29205
1,1,29382
1,1,32269
1,1,31313
1,1,39164
1,1,28979
1,1,27664
1,1,29977
1,1,34665
1,1,39070
1,1,29514
1,1,31162
1,1,39972
1,1,27983
1,1,30013
1,1,29079
1,1,27859
1,1,29037
1,1,29166
1,1,33345
1,1,39480
1,1,28793
1,1,34365
1,1,38544
1,1,30352
1,1,31825
1,1,38607
1,1,32788
1,1,39421
1,1,34411
1,1,41074
1,1,32606
1,1,40552
1,1,33944
1,1,35652
1,1,32410
1,1,27746
1,1,29176
1,1,29389
1,1,29245
1,1,28175
1,1,29473
1,1,33584
1,1,39145
1,1,34421
1,1,39600
1,1,32086
1,1,34861
1,1,40162
1,1,27377
1,1,38191
1,1,30719
1,1,29090
1,1,27573
1,1,30694
1,1,27269
1,1,34426
1,1,39851
1,1,29593
1,1,31920
1,1,29185
1,1,38613
1,1,30639
1,1,33085
1,1,30381
1,1,38729
1,1,29602
1,1,33814
1,1,39624
1,1,35555
1,1,39247
1,1,33956
1,1,39441
1,1,29071
1,1,29737
1,1,33986
1,1,38965
1,1,33106
1,1,39285
1,1,34164
1,1,39911
1,1,35394
1,1,46146
1,1,38191
1,1,32581
1,1,29482
1,1,39745
1,1,29347
1,1,32910
1,1,39628
1,1,34696
