ProccessID, countOfDetection, Time(ms)
1, 1, 132721  
1, 1, 33838  
1, 1, 32589  
1, 1, 33701  
1, 1, 32649  
1, 1, 19215  
1, 1, 29338  
1, 1, 23008  
1, 1, 44083  
1, 1, 25500  
1, 1, 26214  
1, 1, 25197  
1, 1, 23763  
1, 1, 28426  
1, 1, 24621  
1, 1, 24174  
1, 1, 24974  
1, 1, 30244  
1, 1, 28027  
1, 1, 29096  
1, 1, 27756  
1, 1, 24803  
1, 1, 24191  
1, 1, 24782  
1, 1, 17226  
1, 1, 16072  
1, 1, 19957  
1, 1, 22345  
1, 1, 25947  
1, 1, 12720  
1, 1, 18332  
1, 1, 30113  
1, 1, 16343  
1, 1, 19018  
1, 1, 26238  
1, 1, 24797  
1, 1, 33829  
1, 1, 21118  
1, 1, 12609  
1, 1, 19736  
1, 1, 18332  
1, 1, 19935  
1, 1, 18432  
1, 1, 19751  
1, 1, 18468  
1, 1, 19230  
1, 1, 18762  
1, 1, 19633  
1, 1, 26156  
1, 1, 20373  
1, 1, 18786  
1, 1, 19887  
1, 1, 23333  
1, 1, 25832  
1, 1, 28415  
1, 1, 30317  
1, 1, 37593  
1, 1, 20998  
1, 1, 24553  
1, 1, 41278  
1, 1, 43127  
1, 1, 42743  
1, 1, 27755  
1, 1, 25974  
1, 1, 21151  
1, 1, 25525  
1, 1, 38748  
1, 1, 34633  
1, 1, 29647  
1, 1, 15880  
1, 1, 31103  
1, 1, 26133  
1, 1, 18605  
1, 1, 22635  
1, 1, 19120  
1, 1, 30085  
1, 1, 18326  
1, 1, 25386  
1, 1, 27286  
1, 1, 24024  
1, 1, 24144  
1, 1, 26713  
1, 1, 24066  
1, 1, 23906  
1, 1, 24489  
1, 1, 23878  
1, 1, 24272  
1, 1, 24066  
1, 1, 24851  
1, 1, 32889  
1, 1, 24462  
1, 1, 24541  
1, 1, 23025  
1, 1, 24759  
1, 1, 30245  
1, 1, 24120  
1, 1, 24751  
1, 1, 24194  
1, 1, 23939  
1, 1, 24084  
1, 1, 24418  
1, 1, 24595  
1, 1, 24308  
1, 1, 23936  
1, 1, 24231  
1, 1, 23496  
1, 1, 27740  
1, 1, 28422  
1, 1, 24888  
1, 1, 24750  
1, 1, 24094  
1, 1, 24433  
1, 1, 24567  
1, 1, 25021  
1, 1, 23755  
1, 1, 31240  
1, 1, 24039  
1, 1, 24579  
1, 1, 24838  
1, 1, 24443  
1, 1, 25121  
1, 1, 33159  
1, 1, 56228  
1, 1, 90135  
1, 1, 55426  
1, 1, 40399  
1, 1, 43734  
1, 1, 35745  
1, 1, 38765  
1, 1, 36606  
1, 1, 23010  
1, 1, 24572  
1, 1, 23847  
1, 1, 24136  
1, 1, 28144  
1, 1, 28950  
1, 1, 24994  
1, 1, 23957  
1, 1, 24188  
1, 1, 24084  
1, 1, 24102  
1, 1, 28097  
1, 1, 23434  
1, 1, 24162  
1, 1, 24549  
1, 1, 24433  
1, 1, 24256  
1, 1, 28045  
1, 1, 24028  
1, 1, 28568  
1, 1, 24644  
1, 1, 24373  
1, 1, 36431  
1, 1, 24283  
1, 1, 23438  
1, 1, 24591  
1, 1, 24439  
1, 1, 33377  
1, 1, 24433  
1, 1, 24618  
1, 1, 24593  
1, 1, 25715  
1, 1, 26904  
1, 1, 24450  
1, 1, 24425  
1, 1, 26673  
1, 1, 23208  
1, 1, 25030  
1, 1, 24483  
1, 1, 30063  
1, 1, 27639  
1, 1, 24506  
1, 1, 23766  
1, 1, 24372  
1, 1, 24779  
1, 1, 24818  
1, 1, 23480  
1, 1, 24242  
1, 1, 23399  
1, 1, 24840  
1, 1, 24673  
1, 1, 24199  
1, 1, 24310  
1, 1, 35224  
1, 1, 25973  
1, 1, 24534  
1, 1, 28799  
1, 1, 34573  
1, 1, 20981  
1, 1, 24308  
1, 1, 24196  
1, 1, 23833  
1, 1, 23577  
1, 1, 25030  
1, 1, 33380  
1, 1, 23383  
1, 1, 23067  
1, 1, 23606  
1, 1, 24652  
1, 1, 24202  
1, 1, 22454  
1, 1, 23396  
1, 1, 24316  
1, 1, 20174  
1, 1, 38900  
1, 1, 21242  
1, 1, 41370  
1, 1, 22065  
1, 1, 23753  
1, 1, 24602  
1, 1, 23863  
1, 1, 24615  
1, 1, 23878  
1, 1, 24280  
1, 1, 28627  
1, 1, 24086  
1, 1, 23859  
1, 1, 24470  
1, 1, 23289  
1, 1, 23874  
1, 1, 24024  
1, 1, 30922  
1, 1, 28956  
1, 1, 24079  
1, 1, 24157  
1, 1, 24013  
1, 1, 24154  
1, 1, 24031  
1, 1, 24204  
1, 1, 23729  
1, 1, 24195  
1, 1, 24003  
1, 1, 24309  
1, 1, 23843  
1, 1, 24433  
1, 1, 25394  
1, 1, 30135  
1, 1, 20234  
1, 1, 24157  
1, 1, 36124  
1, 1, 23650  
1, 1, 24050  
1, 1, 23917  
1, 1, 24590  
1, 1, 23947  
1, 1, 24851  
1, 1, 24192  
1, 1, 23827  
1, 1, 24120  
1, 1, 24593  
1, 1, 24531  
1, 1, 24305  
1, 1, 24195  
1, 1, 23495  
1, 1, 24091  
1, 1, 24168  
1, 1, 25407  
1, 1, 39773  
1, 1, 24540  
1, 1, 24077  
1, 1, 23292  
1, 1, 16985  
1, 1, 18112  
1, 1, 19006  
1, 1, 24215  
1, 1, 24054  
1, 1, 23333  
1, 1, 23982  
1, 1, 23336  
1, 1, 24107  
1, 1, 24159  
1, 1, 24100  
1, 1, 23722  
1, 1, 24413  
1, 1, 23447  
1, 1, 34662  
1, 1, 23902  
1, 1, 23492  
1, 1, 29103  
1, 1, 23695  
1, 1, 23871  
1, 1, 24061  
1, 1, 23598  
1, 1, 23945  
1, 1, 23911  
1, 1, 24014  
1, 1, 23106  
1, 1, 23838  
1, 1, 23759  
1, 1, 24145  
1, 1, 24028  
1, 1, 23898  
1, 1, 24036  
1, 1, 31320  
1, 1, 24054  
1, 1, 24123  
1, 1, 28921  
1, 1, 23601  
1, 1, 23534  
1, 1, 25277  
1, 1, 29766  
1, 1, 23777  
1, 1, 23529  
1, 1, 23861  
1, 1, 23557  
1, 1, 23699  
1, 1, 24003  
1, 1, 23546  
1, 1, 23592  
1, 1, 23688  
1, 1, 23705  
1, 1, 36839  
1, 1, 22495  
1, 1, 23650  
1, 1, 23808  
1, 1, 24112  
1, 1, 23850  
1, 1, 23495  
1, 0, 22189  
1, 0, 26184  
1, 0, 25712  
1, 0, 35789  
1, 0, 30379  
1, 0, 30540  
1, 0, 30447  
1, 0, 30650  
1, 0, 30237  
1, 0, 38879  
1, 0, 30224  
1, 0, 30085  
1, 0, 30415  
1, 0, 30141  
1, 0, 31889  
1, 0, 30207  
1, 0, 30164  
1, 0, 31203  
1, 0, 29368  
1, 0, 29976  
1, 0, 33425  
1, 0, 29251  
1, 0, 33942  
1, 0, 35815  
1, 0, 30260  
1, 0, 29986  
1, 1, 29125  
1, 1, 30496  
1, 1, 30840  
1, 1, 30589  
1, 1, 30432  
1, 1, 46069  
1, 1, 27549  
1, 1, 27180  
1, 1, 24252  
1, 1, 24381  
1, 1, 27593  
1, 1, 35261  
1, 0, 21341  
1, 0, 24184  
1, 0, 27211  
1, 0, 25500  
1, 0, 22644  
1, 0, 24146  
1, 0, 25928  
1, 0, 21284  
1, 0, 23917  
1, 0, 23881  
1, 0, 25855  
1, 0, 24617  
1, 0, 22954  
1, 0, 24955  
1, 0, 32364  
1, 0, 22725  
1, 0, 28223  
1, 0, 30753  
1, 0, 24653  
1, 0, 22830  
1, 0, 23515  
1, 0, 23623  
1, 0, 23748  
1, 1, 18059  
1, 1, 18563  
1, 1, 18601  
1, 1, 18892  
1, 0, 24348  
1, 0, 23946  
1, 0, 24141  
1, 0, 24161  
1, 1, 24168  
1, 1, 24022  
1, 1, 29234  
1, 1, 24756  
1, 1, 31531  
1, 1, 29458  
1, 1, 24498  
1, 1, 24166  
1, 1, 23036  
1, 1, 24377  
1, 1, 24236  
1, 1, 24114  
1, 1, 23978  
1, 1, 23839  
1, 1, 23908  
1, 1, 23744  
1, 1, 23299  
1, 1, 24064  
1, 1, 28421  
1, 1, 34238  
1, 1, 23350  
1, 1, 29041  
1, 1, 35791  
1, 1, 17236  
1, 1, 23352  
1, 1, 23697  
1, 1, 24627  
1, 1, 25716  
1, 1, 23252  
1, 1, 23143  
1, 1, 24003  
1, 1, 25515  
1, 1, 24181  
1, 1, 25008  
1, 1, 35576  
1, 1, 28760  
1, 1, 37765  
1, 1, 34371  
1, 1, 47583  
1, 1, 37237  
1, 1, 37758  
1, 1, 42572  
1, 1, 36133  
1, 1, 38553  
1, 1, 41399  
1, 1, 38975  
1, 1, 33764  
1, 1, 30381  
1, 1, 36312  
1, 1, 29348  
1, 1, 46655  
1, 1, 39741  
1, 1, 46358  
1, 1, 40290  
1, 1, 41528  
1, 1, 42361  
1, 1, 40493  
1, 1, 45766  
1, 1, 50456  
1, 1, 49541  
1, 1, 47957  
1, 1, 43451  
1, 1, 51701  
1, 1, 40922  
1, 1, 44883  
1, 1, 43154  
1, 1, 43278  
1, 1, 48371  
1, 1, 45328  
1, 1, 37360  
1, 1, 53354  
1, 1, 48567  
1, 1, 36721  
1, 1, 39266  
1, 1, 42101  
1, 1, 37980  
1, 1, 41779  
1, 1, 29672  
1, 1, 27208  
1, 1, 34870  
1, 1, 32857  
1, 1, 30758  
1, 1, 39916  
1, 1, 33935  
1, 1, 33942  
1, 1, 33765  
1, 1, 31976  
1, 1, 34908  
1, 1, 35346  
1, 1, 33497  
1, 1, 38148  
1, 1, 34553  
1, 1, 40634  
1, 1, 38403  
1, 1, 32002  
1, 1, 45209  
1, 1, 31626  
1, 1, 31764  
1, 1, 37209  
1, 1, 35411  
1, 1, 32026  
1, 1, 38016  
1, 1, 38329  
1, 1, 32292  
1, 1, 34662  
1, 1, 33828  
1, 1, 34639  
1, 1, 30749  
1, 1, 51583  
1, 1, 37358  
1, 1, 41041  
1, 1, 29622  
1, 1, 37585  
1, 1, 39570  
1, 1, 40984  
1, 1, 41022  
1, 1, 40179  
1, 1, 40595  
1, 1, 41153  
1, 1, 50229  
1, 1, 40692  
1, 1, 48049  
1, 1, 40909  
1, 1, 40079  
1, 1, 35797  
1, 1, 39419  
1, 1, 38934  
1, 1, 39766  
1, 1, 40002  
1, 1, 39156  
1, 1, 45676  
1, 1, 43642  
1, 1, 39669  
1, 1, 39139  
1, 1, 40682  
1, 1, 43836  
1, 1, 39942  
1, 1, 39558  
1, 1, 39293  
1, 1, 38568  
1, 1, 40214  
1, 1, 43426  
1, 1, 47067  
1, 1, 30433  
1, 1, 34186  
1, 1, 42069  
1, 1, 44302  
1, 1, 37517  
1, 1, 46130  
1, 1, 40495  
1, 1, 40826  
1, 1, 39309  
1, 1, 39780  
1, 1, 47054  
1, 1, 28578  
1, 1, 39911  
1, 1, 41108  
1, 1, 37313  
1, 1, 37255  
1, 1, 39614  
1, 1, 37774  
1, 1, 30938  
1, 1, 44523  
1, 1, 36742  
1, 1, 43787  
1, 1, 43997  
1, 1, 38790  
1, 1, 38061  
1, 1, 39855  
1, 1, 42039  
1, 1, 41817  
1, 1, 40317  
1, 1, 40717  
1, 1, 35805  
1, 1, 41211  
1, 1, 39696  
1, 1, 51444  
1, 1, 29078  
1, 1, 34123  
1, 1, 39355  
1, 1, 39379  
1, 1, 40133  
1, 1, 37131  
1, 1, 31452  
1, 1, 35937  
1, 1, 41860  
1, 1, 34096  
1, 1, 31272  
1, 1, 48253  
1, 1, 38387  
1, 1, 47224  
1, 1, 41161  
1, 1, 40712  
1, 1, 35789  
1, 1, 32384  
1, 1, 35082  
1, 1, 41037  
1, 1, 39218  
1, 1, 36967  
1, 1, 44272  
1, 1, 46354  
1, 1, 37522  
1, 1, 38092  
1, 1, 38767  
